tipo_credito,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,prediction,timestamp
4,3940800,12,31,Independiente,8000000,2000000,308250,734.0,7,6,0.0,5547.525,19465.0,0.0,5,2,0,1446245.0,Decreciente,0.3179263770580292,2026-07-23 12:52:33.249801
4,3342720,6,55,Empleado,6000000,3500000,464267,865.0,3,3,0.0,-395.616,131872.0,0.0,2,0,0,2158333.0,209090,0.7526860237121582,2026-07-23 12:52:33.249801
4,1163762,6,41,Independiente,4000000,1100000,161633,870.0,13,3,0.0,278276.076,160547.0,0.0,10,0,0,1990909.0,Creciente,0.9432953000068665,2026-07-23 12:52:33.249801
4,3048000,6,29,Independiente,3000000,800000,454962,757.0,2,2,0.0,-6.254,106.0,0.0,0,0,1,,,0.6592407822608948,2026-07-23 12:52:33.249801
4,1847759,20,22,Empleado,2250000,340000,100649,774.0,4,4,0.0,-548.212,2797.0,0.0,2,0,0,1000000.0,Creciente,0.7743029594421387,2026-07-23 12:52:33.249801
4,2195882,12,49,Empleado,1400000,500000,152492,853.0,1,5,0.0,9323.323,4889.0,0.0,1,0,0,1273094.0,Decreciente,0.8451820015907288,2026-07-23 12:52:33.249801
9,1961628,10,60,Independiente,3000000,1500000,166551,807.0,9,2,0.0,10783.591,14511.0,0.0,5,2,0,9134873.0,Creciente,0.9770082831382751,2026-07-23 12:52:33.249801
4,1884001,8,31,Independiente,8000000,6000000,213871,474.0,4,7,582.0,68633.304,50244.0,0.0,2,0,1,1691666.0,Estable,0.2283099740743637,2026-07-23 12:52:33.249801
4,2644682,12,61,Empleado,2800000,550000,207519,843.0,1,4,0.0,338.918,194.0,0.0,1,0,0,908526.0,Estable,0.9389449954032898,2026-07-23 12:52:33.249801
4,1056001,10,22,Empleado,1200000,300000,98472,704.0,2,5,0.0,106.395,173.0,0.0,0,0,1,516667.0,Creciente,0.3841274678707123,2026-07-23 12:52:33.249801
4,2640000,10,26,Empleado,1400000,300000,244022,733.0,8,5,0.0,5157.88,15260.0,0.0,1,1,3,1516116.0,Creciente,0.7481106519699097,2026-07-23 12:52:33.249801
4,720002,12,55,Empleado,1800000,400000,50000,858.0,6,6,0.0,48564.44,18207.0,0.0,4,0,2,2101491.0,Creciente,0.9859350919723511,2026-07-23 12:52:33.249801
4,362701,6,56,Empleado,1300000,300000,53944,794.0,4,5,0.0,13461.055,11171.0,0.0,1,0,1,908526.0,Creciente,0.8737055063247681,2026-07-23 12:52:33.249801
4,1281170,12,44,Empleado,1300000,700000,100571,781.0,6,7,0.0,13931.4,7490.0,0.0,3,0,3,908526.0,Estable,0.9548300504684448,2026-07-23 12:52:33.249801
4,3360723,12,33,Independiente,7000000,3000000,233383,792.0,13,7,0.0,229416.576,105051.0,0.0,7,0,2,844592.0,Decreciente,0.7529692649841309,2026-07-23 12:52:33.249801
4,779881,6,46,Empleado,1500000,300000,116227,827.0,2,5,0.0,6491.624,4859.0,0.0,2,0,0,1013335.0,Creciente,0.9795116186141968,2026-07-23 12:52:33.249801
9,2234494,5,29,Empleado,3244800,17000,365035,786.0,5,4,0.0,20386.416,302.0,0.0,3,1,0,3806814.0,Creciente,0.9525883197784424,2026-07-23 12:52:33.249801
4,2604002,12,47,Empleado,6500000,3200000,203647,778.0,8,2,0.0,221467.68,124560.0,0.0,6,0,2,939017.0,Creciente,0.8559343218803406,2026-07-23 12:52:33.249801
4,3069002,18,53,Empleado,3600000,1000000,169054,825.0,8,0,0.0,34905.051,19687.0,0.0,6,0,1,,,0.9928038716316223,2026-07-23 12:52:33.249801
4,4824000,36,48,Independiente,4080000,1055000,176029,846.0,4,4,0.0,-10758.437,42863.0,0.0,0,2,2,859578.0,Decreciente,0.9379234313964844,2026-07-23 12:52:33.249801
4,2348161,10,64,Empleado,1900000,500000,216706,783.0,9,3,0.0,79501.597,83504.0,0.0,7,0,2,908526.0,Estable,0.9338819980621338,2026-07-23 12:52:33.249801
9,878881,5,60,Independiente,5000000,2000000,142747,826.0,4,1,0.0,800.88,752.0,0.0,1,0,3,,,0.9490622282028198,2026-07-23 12:52:33.249801
4,3873600,6,38,Independiente,16000000,6000000,577254,740.0,9,14,0.0,-30059.848,114296.0,0.0,4,0,1,969508.0,Creciente,0.7062305808067322,2026-07-23 12:52:33.249801
9,1746520,10,37,Empleado,2500000,1000000,148676,840.0,4,1,0.0,15.808,38.0,0.0,3,0,0,1536155.0,Creciente,0.9896161556243896,2026-07-23 12:52:33.249801
4,8640001,36,44,Empleado,2470000,187000,328804,791.0,1,5,0.0,4541.004,5634.0,0.0,1,0,0,951851.0,Creciente,0.432048499584198,2026-07-23 12:52:33.249801
4,2400001,6,46,Independiente,12000000,3000000,356709,724.0,5,3,0.0,47927.831,40999.0,0.0,3,0,1,,,0.8603320121765137,2026-07-23 12:52:33.249801
4,978000,6,30,Empleado,2000000,1000000,145008,821.0,7,7,0.0,2209.823,18263.0,0.0,5,0,0,1803291.0,Decreciente,0.9409170746803284,2026-07-23 12:52:33.249801
4,5664000,10,52,Independiente,4000000,600000,530901,866.0,4,4,0.0,-563.905,3889.0,0.0,2,0,1,762152.0,Creciente,0.8795109987258911,2026-07-23 12:52:33.249801
9,1744120,11,42,Empleado,10000000,5000000,135697,722.0,8,2,0.0,0.0,0.0,,0,0,8,,,0.9458394050598145,2026-07-23 12:52:33.249801
4,2778361,12,63,Independiente,1800000,500000,218262,903.0,6,0,0.0,5602.459,8713.0,0.0,4,0,1,,,0.9747540950775146,2026-07-23 12:52:33.249801
9,6983414,10,54,Empleado,4000000,2000000,600940,854.0,3,2,0.0,3.549,39.0,0.0,1,0,1,941789.0,Creciente,0.915486752986908,2026-07-23 12:52:33.249801
4,4281481,6,53,Independiente,6000000,800000,634814,810.0,3,6,0.0,358.336,352.0,0.0,1,0,0,908526.0,Estable,0.5576420426368713,2026-07-23 12:52:33.249801
4,3518401,36,37,Empleado,7000000,500000,113514,842.0,3,3,0.0,47538.176,57344.0,0.0,3,0,0,5270833.0,Creciente,0.9731476902961731,2026-07-23 12:52:33.249801
4,1436280,12,29,Empleado,1500000,900000,112840,767.0,1,3,0.0,24.992,352.0,0.0,0,0,1,1219446.0,Creciente,0.8966535329818726,2026-07-23 12:52:33.249801
9,1498994,5,37,Independiente,5000000,2000000,243535,776.0,16,6,0.0,332572.3,170725.0,0.0,12,0,3,954263.0,Creciente,0.8943518400192261,2026-07-23 12:52:33.249801
4,840000,12,27,Empleado,3000000,1800000,58333,789.0,4,4,0.0,1554.483,6559.0,0.0,3,0,0,1506646.0,Decreciente,0.8777948021888733,2026-07-23 12:52:33.249801
4,448800,6,29,Independiente,1500000,600000,66991,773.0,4,6,0.0,10335.924,14037.0,0.0,2,0,0,950105.0,Creciente,0.1834363043308258,2026-07-23 12:52:33.249801
4,1670281,12,31,Independiente,1800000,500000,115992,755.0,8,4,0.0,36051.435,37359.0,0.0,3,0,4,30285.0,Estable,0.6202869415283203,2026-07-23 12:52:33.249801
9,6583981,10,60,Empleado,3500000,1500000,560769,819.0,2,3,0.0,268.275,147.0,0.0,1,0,1,946640.0,Creciente,0.9711672067642212,2026-07-23 12:52:33.249801
4,3484800,12,45,Independiente,3000000,800000,273781,789.0,13,7,0.0,-5494.352,11433.0,0.0,4,1,2,1119218.0,Creciente,0.9432791471481323,2026-07-23 12:52:33.249801
4,1971484,6,38,Empleado,3200000,1000000,273817,781.0,6,6,0.0,41685.464,2811.0,0.0,4,0,1,1165000.0,Decreciente,0.9630426168441772,2026-07-23 12:52:33.249801
9,1734363,9,50,Independiente,2000000,1400000,162595,743.0,3,3,0.0,323.178,1766.0,0.0,0,0,3,,,0.7142958641052246,2026-07-23 12:52:33.249801
4,1440002,12,22,Empleado,1170000,600000,112776,738.0,2,3,0.0,3697.655,2119.0,0.0,0,0,2,975496.0,Decreciente,0.8830695748329163,2026-07-23 12:52:33.249801
4,3707881,12,35,Empleado,2378000,191000,306355,840.0,4,9,0.0,179.922,191.0,0.0,1,0,3,1783333.0,Creciente,0.8815334439277649,2026-07-23 12:52:33.249801
4,2400000,6,37,Independiente,7500000,700000,333333,738.0,12,5,0.0,27473.316,240994.0,0.0,3,0,6,2927272.0,Estable,0.8469611406326294,2026-07-23 12:52:33.249801
4,1798442,8,51,Empleado,4090000,849000,207659,808.0,8,5,0.0,25792.2,40940.0,0.0,5,0,2,1693680.0,Creciente,0.9475780129432678,2026-07-23 12:52:33.249801
4,14716802,12,35,Independiente,14000000,3000000,1151149,734.0,11,4,0.0,92131.92,34696.0,0.0,6,0,4,877803.0,Creciente,0.7371780872344971,2026-07-23 12:52:33.249801
4,983406,12,36,Independiente,2390000,474000,80140,748.0,5,8,0.0,8693.896,7418.0,0.0,1,0,2,921363.0,Decreciente,0.7947102189064026,2026-07-23 12:52:33.249801
9,2670470,10,35,Empleado,4000000,1500000,227926,840.0,4,2,0.0,-373.875,997.0,0.0,3,0,0,9303013.0,Creciente,0.9955835938453674,2026-07-23 12:52:33.249801
4,5345953,6,39,Independiente,10000000,2000000,795057,800.0,8,6,0.0,32835.77,54274.0,0.0,4,3,0,942520.0,Creciente,0.822928786277771,2026-07-23 12:52:33.249801
9,4440087,10,37,Independiente,4000000,3000000,376587,802.0,4,2,0.0,19690.188,71862.0,0.0,1,0,2,916148.0,Creciente,0.9095956683158875,2026-07-23 12:52:33.249801
4,1543080,6,26,Empleado,2500000,1000000,229954,737.0,10,8,0.0,-1578.943,12053.0,0.0,6,0,0,954263.0,Creciente,0.8822879791259766,2026-07-23 12:52:33.249801
4,3019084,24,30,Empleado,3000000,1000000,132717,792.0,8,5,0.0,91540.683,47259.0,0.0,5,0,0,1862529.0,Creciente,0.9318028092384338,2026-07-23 12:52:33.249801
4,3143880,24,44,Empleado,3120000,460000,151091,721.0,8,5,0.0,-2894.658,2529.0,0.0,2,0,2,1336094.0,Creciente,0.8556857109069824,2026-07-23 12:52:33.249801
9,3471369,11,30,Empleado,7700000,3900000,270082,808.0,12,12,0.0,-50003.496,179224.0,0.0,8,0,3,5266854.0,Creciente,0.779127299785614,2026-07-23 12:52:33.249801
9,413593,5,38,Independiente,5000000,2000000,67097,686.0,10,9,0.0,42763.98,70220.0,0.0,5,0,3,811557.0,Estable,0.35569649934768677,2026-07-23 12:52:33.249801
4,3340980,12,22,Empleado,1500000,510000,262155,762.0,3,5,0.0,-709.67,2678.0,0.0,2,1,0,1168424.0,Decreciente,0.7359590530395508,2026-07-23 12:52:33.249801
4,3230280,24,27,Empleado,1500000,800000,143161,837.0,4,1,0.0,-80.96,253.0,0.0,4,0,0,937300.0,Decreciente,0.9719960689544678,2026-07-23 12:52:33.249801
4,1784280,12,51,Empleado,1100000,350000,140181,823.0,3,2,0.0,-1.276,29.0,0.0,1,0,0,908571.0,Decreciente,0.9768213629722595,2026-07-23 12:52:33.249801
4,1037521,6,38,Empleado,1000000,831000,155383,803.0,5,1,0.0,20429.64,28140.0,0.0,4,0,0,891666.0,Creciente,0.9678744077682495,2026-07-23 12:52:33.249801
9,1456561,9,36,Empleado,9000000,5600000,136160,824.0,4,4,0.0,33086.151,58353.0,0.0,3,0,0,923771.0,Creciente,0.939600944519043,2026-07-23 12:52:33.249801
4,1091882,6,38,Empleado,1890662,789000,164348,792.0,9,4,0.0,157618.88,79445.0,0.0,4,1,1,1913386.0,Creciente,0.9457852244377136,2026-07-23 12:52:33.249801
4,3720072,12,45,Empleado,4000000,2500000,291537,770.0,6,2,0.0,-11922.411,62421.0,0.0,4,0,0,4000000.0,Estable,0.9823698997497559,2026-07-23 12:52:33.249801
4,1310400,6,38,Independiente,2238000,510000,201227,735.0,6,7,0.0,-982.293,3471.0,0.0,0,0,4,,,0.7935408353805542,2026-07-23 12:52:33.249801
4,2343362,24,41,Empleado,2500000,0,104401,801.0,3,3,0.0,107474.814,67722.0,0.0,1,0,1,1040000.0,Creciente,0.9550038576126099,2026-07-23 12:52:33.249801
9,1294083,3,63,Empleado,3500000,2000000,343557,859.0,2,0,0.0,2691.275,6485.0,0.0,2,0,0,4369973.0,Creciente,0.8862255811691284,2026-07-23 12:52:33.249801
4,2796001,12,27,Empleado,2900000,1200000,219378,773.0,4,2,0.0,11622.6,10566.0,0.0,3,0,1,2671451.0,Decreciente,0.9818834066390991,2026-07-23 12:52:33.249801
9,1488185,10,52,Independiente,2689000,1589000,126420,825.0,8,7,0.0,233403.252,217524.0,0.0,5,0,2,,,0.21682780981063843,2026-07-23 12:52:33.249801
4,15600000,12,49,Independiente,20000000,12000000,1227126,813.0,6,5,0.0,-79135.65,159870.0,0.0,1,2,2,2445272.0,Decreciente,0.9073182344436646,2026-07-23 12:52:33.249801
9,1760529,10,57,Empleado,4000000,2100000,149712,864.0,9,2,0.0,16569.653,5289.0,0.0,5,0,1,4180433.0,Creciente,0.9754094481468201,2026-07-23 12:52:33.249801
4,2375521,10,23,Empleado,1200000,300000,220054,769.0,0,2,0.0,0.0,,,0,0,0,,,0.746078610420227,2026-07-23 12:52:33.249801
4,1668000,12,48,Independiente,1500000,350000,131425,752.0,5,1,0.0,2186.076,1370.0,0.0,0,0,1,,,0.8676791191101074,2026-07-23 12:52:33.249801
9,821208,6,64,Independiente,5000000,2000000,112133,796.0,12,3,0.0,-37920.644,95278.0,0.0,5,0,3,,,0.9365289807319641,2026-07-23 12:52:33.249801
4,5146441,36,32,Independiente,2500000,1200000,166641,782.0,7,5,0.0,70191.648,36144.0,0.0,6,0,0,908526.0,Estable,0.5151962041854858,2026-07-23 12:52:33.249801
4,1993611,8,49,Independiente,5300000,1200000,227296,801.0,4,2,0.0,3127.708,1828.0,0.0,2,1,1,1305479.0,Decreciente,0.9427159428596497,2026-07-23 12:52:33.249801
6,1061725,6,44,Empleado,3500000,0,159601,797.0,5,5,0.0,40982.591,23011.0,0.0,3,0,0,902940.0,Creciente,0.12928344309329987,2026-07-23 12:52:33.249801
4,1368001,24,23,Empleado,1055324,166000,63389,715.0,2,2,0.0,3447.936,5248.0,0.0,0,0,1,1064314.0,Creciente,0.12064645439386368,2026-07-23 12:52:33.249801
9,878881,6,27,Empleado,1000000,2218000,120902,752.0,8,3,0.0,35647.443,65169.0,0.0,5,1,2,939333.0,Creciente,0.960401177406311,2026-07-23 12:52:33.249801
9,1604401,2,58,Independiente,4000000,2000000,632696,861.0,11,1,0.0,53584.278,56643.0,0.0,6,0,2,,,0.9658511877059937,2026-07-23 12:52:33.249801
4,1845481,6,29,Empleado,1300000,400000,275035,772.0,8,6,0.0,13015.224,8872.0,0.0,2,0,4,961877.0,Creciente,0.9718874096870422,2026-07-23 12:52:33.249801
4,2014700,12,32,Empleado,2400000,400000,159734,839.0,4,6,0.0,48964.456,42492.0,0.0,2,0,1,,,0.9877797365188599,2026-07-23 12:52:33.249801
4,541789,6,67,Independiente,1910000,246000,81637,784.0,6,2,0.0,69.72,830.0,0.0,2,0,1,,,0.9432230591773987,2026-07-23 12:52:33.249801
9,2174947,11,41,Empleado,7013000,1686000,177530,839.0,6,1,0.0,-5419.872,33048.0,0.0,2,1,0,1520000.0,Estable,0.9815226793289185,2026-07-23 12:52:33.249801
4,360001,6,69,Independiente,1500000,250000,53736,832.0,2,2,0.0,15919.981,17437.0,0.0,1,0,1,,,0.9552880525588989,2026-07-23 12:52:33.249801
4,1968000,6,37,Independiente,2560000,2470000,298254,794.0,4,4,0.0,486.36,27020.0,0.0,1,0,3,,,0.6305336356163025,2026-07-23 12:52:33.249801
4,2139600,12,35,Empleado,1300000,400000,167538,774.0,5,7,0.0,49.26,2463.0,0.0,4,0,0,1310431.0,Creciente,0.8528346419334412,2026-07-23 12:52:33.249801
9,8153116,5,122,Empleado,38062010,20671524,1323066,0.0,0,0,,0.0,,,0,0,0,,,0.7460777759552002,2026-07-23 12:52:33.249801
4,2392681,12,36,Empleado,3000000,700000,166158,822.0,4,5,0.0,20103.38,34661.0,0.0,3,0,0,1962342.0,Decreciente,0.989024817943573,2026-07-23 12:52:33.249801
10,1152001,12,61,Independiente,1200000,0,90221,872.0,8,2,0.0,5381.232,4737.0,0.0,1,0,6,,,0.9201653003692627,2026-07-23 12:52:33.249801
4,5214480,24,33,Empleado,1850000,253000,242641,839.0,3,2,0.0,-76.58,1094.0,0.0,1,0,1,1000000.0,Creciente,0.6059575080871582,2026-07-23 12:52:33.249801
4,1615082,12,63,Independiente,2500000,1000000,126888,844.0,8,3,0.0,21787.596,12044.0,0.0,4,0,4,,,0.9435502290725708,2026-07-23 12:52:33.249801
4,3726001,6,63,Empleado,1000000,0,562766,850.0,2,0,0.0,0.0,0.0,0.0,1,0,1,969508.0,Creciente,0.8366384506225586,2026-07-23 12:52:33.249801
9,1627824,8,67,Empleado,6000000,40000000,170070,833.0,2,0,0.0,14459.548,8612.0,0.0,1,0,0,954263.0,Creciente,0.8986582159996033,2026-07-23 12:52:33.249801
4,2237762,6,36,Independiente,1200000,400000,332578,817.0,3,2,0.0,2228.045,1205.0,0.0,2,1,0,,,0.8415526151657104,2026-07-23 12:52:33.249801
4,3038880,12,22,Empleado,2000000,600000,238728,777.0,1,3,0.0,-386.055,1035.0,0.0,1,0,0,888543.0,Creciente,0.8281670212745667,2026-07-23 12:52:33.249801
4,2099340,10,36,Independiente,11000000,7000000,194265,775.0,6,6,0.0,22876.505,157769.0,0.0,5,0,1,2240000.0,Creciente,0.9559210538864136,2026-07-23 12:52:33.249801
4,8640001,36,43,Empleado,4326000,1135000,329858,745.0,8,2,0.0,31524.885,22185.0,0.0,5,0,3,2186900.0,Decreciente,0.7733648419380188,2026-07-23 12:52:33.249801
4,1419601,12,51,Independiente,5170000,104000,116728,764.0,4,2,0.0,39941.056,33734.0,0.0,3,0,0,2801109.0,Creciente,0.9551272988319397,2026-07-23 12:52:33.249801
4,988800,10,41,Independiente,2500000,0,91637,797.0,7,3,0.0,13118.637,29883.0,0.0,6,0,1,,,0.926620364189148,2026-07-23 12:52:33.249801
4,2196002,12,24,Independiente,1700000,400000,172301,797.0,0,4,0.0,0.0,,,0,0,0,763975.0,Decreciente,0.8889124393463135,2026-07-23 12:52:33.249801
4,661080,12,52,Empleado,1300000,500000,51873,710.0,7,7,0.0,255.645,3705.0,0.0,0,0,7,1275750.0,Creciente,0.8059853911399841,2026-07-23 12:52:33.249801
4,683582,6,31,Independiente,2200000,800000,102758,735.0,2,6,0.0,9190.4,5744.0,0.0,1,0,1,908526.0,Estable,0.7870041728019714,2026-07-23 12:52:33.249801
4,2159844,12,69,Empleado,2500000,500000,169687,693.0,10,7,0.0,-840.782,24617.0,0.0,4,0,6,,,0.844021737575531,2026-07-23 12:52:33.249801
4,1657080,24,31,Empleado,1400000,400000,72844,744.0,7,11,0.0,13546.62,29070.0,0.0,5,0,1,1308500.0,Creciente,0.41678962111473083,2026-07-23 12:52:33.249801
9,976402,10,22,Empleado,2000000,800000,83118,686.0,0,2,0.0,0.0,,,0,0,0,1206025.0,Creciente,0.6225473880767822,2026-07-23 12:52:33.249801
9,1674078,9,63,Empleado,1500000,600000,156869,804.0,3,1,0.0,-6396.1,578.0,0.0,1,0,2,641864.0,Decreciente,0.7962037920951843,2026-07-23 12:52:33.249801
4,413713,6,21,Empleado,1800000,112000,63479,778.0,4,8,0.0,524.864,944.0,0.0,0,0,2,1050000.0,Creciente,0.7788795828819275,2026-07-23 12:52:33.249801
4,1753080,12,37,Empleado,1700000,550000,121742,823.0,4,5,0.0,18596.862,75597.0,0.0,2,0,0,1769162.0,Creciente,0.9900948405265808,2026-07-23 12:52:33.249801
4,7200001,12,32,Independiente,0,0,579623,812.0,2,3,0.0,65714.635,70585.0,0.0,1,0,1,1607232.0,Creciente,0.8063129782676697,2026-07-23 12:52:33.249801
4,960001,6,58,Independiente,5000000,1600000,142228,814.0,1,2,0.0,56.355,39.0,0.0,0,0,0,832815.0,Creciente,0.738002359867096,2026-07-23 12:52:33.249801
4,2107082,12,25,Empleado,2000000,700000,146325,793.0,5,2,0.0,26810.498,14422.0,0.0,3,0,0,166667.0,Creciente,0.9830818772315979,2026-07-23 12:52:33.249801
4,4667762,6,37,Independiente,1790000,191000,705007,769.0,2,3,0.0,3386.958,2083.0,0.0,2,0,0,,,0.8409857153892517,2026-07-23 12:52:33.249801
4,2138400,6,47,Empleado,2000000,1000000,317176,772.0,5,4,0.0,-818.56,2558.0,0.0,2,0,2,2212058.0,Creciente,0.9505701065063477,2026-07-23 12:52:33.249801
4,2308681,6,40,Empleado,5000000,1000000,342902,810.0,4,5,0.0,0.0,0.0,0.0,2,0,0,,,0.8234096169471741,2026-07-23 12:52:33.249801
4,1534021,6,53,Independiente,2090000,0,230921,782.0,1,1,0.0,0.0,0.0,0.0,0,0,0,,,0.8116101622581482,2026-07-23 12:52:33.249801
4,3477756,12,63,Empleado,9000000,4000000,273228,753.0,11,4,0.0,-27927.872,102676.0,0.0,7,0,2,14129345.0,Creciente,0.8793479204177856,2026-07-23 12:52:33.249801
4,1707120,6,54,Empleado,7000000,2500000,253784,789.0,6,3,0.0,9541.998,24854.0,0.0,4,0,0,939017.0,Creciente,0.8334808349609375,2026-07-23 12:52:33.249801
4,599880,6,25,Empleado,1800000,800000,83317,732.0,2,5,0.0,6.664,17.0,0.0,0,0,0,1340739.0,Creciente,0.4910377562046051,2026-07-23 12:52:33.249801
4,2970601,6,53,Empleado,3000000,972000,444928,861.0,3,4,0.0,-20047.68,25538.0,0.0,2,0,1,3000000.0,Estable,0.9367249608039856,2026-07-23 12:52:33.249801
4,3597120,6,39,Independiente,3000000,180000,533344,796.0,3,0,0.0,-3018.0,8048.0,0.0,2,0,0,,,0.8358919024467468,2026-07-23 12:52:33.249801
