tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo
4,4/04/2025 16:51,1712500,12,41,Independiente,4000000,3000000,134764,95.227787,758.0,7,9,0.0,1095.504,18957.0,0.0,4,0,1,294430,Decreciente,1
9,28/05/2025 09:42,442561,2,47,Independiente,5000000,2000000,174626,95.227787,757.0,1,8,0.0,74.677,53.0,0.0,0,0,1,,,1
4,10/08/2025 15:53,2019601,6,64,Empleado,3000000,1000000,299446,95.227787,874.0,1,3,0.0,0,0.0,0.0,1,0,0,1033825,Creciente,1
4,10/08/2025 15:07,636000,6,65,Independiente,954263,1127000,95739,95.227787,868.0,5,9,0.0,5165.472,16556.0,0.0,5,0,0,954263,Creciente,1
4,30/12/2024 12:11,3810309,12,55,Empleado,3000000,1000000,297986,95.227787,788.0,9,3,0.0,18937.818,51322.0,0.0,2,1,4,992011,Decreciente,1
4,11/08/2025 10:15,1534021,6,53,Independiente,2090000,0,230921,95.227787,782.0,1,1,0.0,0,0.0,0.0,0,0,0,,,1
4,5/05/2025 13:39,3661856,6,61,Independiente,15000000,3000000,545699,84.730786,805.0,5,6,0.0,42704.613,34467.0,0.0,4,0,0,,,1
4,5/04/2025 17:06,1929481,6,49,Empleado,6800000,2500000,286841,95.227787,801.0,6,3,0.0,50387.392,82874.0,0.0,4,0,1,31156,Creciente,1
9,20/03/2025 11:21,878880,3,60,Independiente,5000000,2000000,233237,95.227787,831.0,2,2,0.0,10.591,89.0,0.0,0,0,1,2630127,Decreciente,1
9,30/04/2025 18:11,1269000,5,41,Independiente,5000000,2000000,205990,89.2295,751.0,11,5,0.0,5894.812,38278.0,0.0,7,0,1,1043410,Creciente,1
4,1/02/2025 18:15,779881,24,65,Independiente,1500000,350000,34172,95.227787,811.0,4,1,0.0,3508.6,2648.0,0.0,0,0,1,,,1
4,2/05/2025 17:25,1633021,6,51,Independiente,5000000,2000000,242783,95.227787,865.0,7,3,0.0,46716.335,31165.0,0.0,5,0,1,939017,Creciente,1
9,15/01/2025 17:12,2407516,10,67,Empleado,2000000,1500000,204194,95.227787,761,4,0,0,39000.636,29817,,2,0,2,,,1
9,22/02/2025 11:26,878881,8,63,Independiente,5000000,2000000,91585,95.227787,819.0,8,3,0.0,82832.376,108281.0,0.0,1,3,4,,,1
9,10/01/2025 11:37,4541006,9,42,Empleado,5000000,2000000,424091,95.227787,823.0,3,2,0.0,-10506.586,18477.0,0.0,1,1,0,30285,Decreciente,1
4,9/06/2025 14:55,420002,18,45,Empleado,3700000,1800000,23983,95.227787,731.0,13,7,0.0,16277.1,9660.0,0.0,6,0,5,,,1
9,27/06/2025 11:59,3387721,9,42,Empleado,5000000,2000000,317596,95.227787,890.0,7,2,0.0,19174.32,14526.0,0.0,5,0,0,7423500,Creciente,1
9,12/01/2025 17:31,1955871,10,41,Empleado,652000,0,165888,95.227787,883,7,0,0,50552.892,35676,,3,0,1,,,1
9,24/05/2025 10:11,2543584,9,40,Independiente,5000000,2000000,238345,95.227787,825.0,9,4,0.0,115730.945,60815.0,0.0,3,0,1,871788,Creciente,1
4,17/02/2025 17:40,1376400,12,57,Empleado,1200000,500000,108136,89.2295,843.0,7,1,0.0,2092.635,12869.0,0.0,1,3,2,1159147,Decreciente,1
9,20/04/2025 18:09,637283,9,64,Empleado,2000000,1500000,59659,95.227787,874.0,4,2,0.0,1743.99,953.0,0.0,1,0,0,,,1
9,8/03/2025 14:46,1055187,10,66,Independiente,6000000,4000000,89590,95.227787,828.0,12,7,0.0,-20554.776,169322.0,0.0,9,1,0,923771,Creciente,1
9,21/03/2025 09:02,3388212,10,39,Empleado,3000000,1000000,287825,95.227787,696.0,11,2,0.0,9099.33,62754.0,0.0,5,0,5,931763,Decreciente,1
4,18/05/2025 11:48,1611761,6,42,Independiente,2500000,1600000,241383,95.227787,731.0,2,3,0.0,1860.8,1600.0,0.0,1,0,0,,,1
9,6/04/2025 17:08,2536838,9,53,Independiente,3000000,1500000,237259,95.227787,771.0,5,9,0.0,155746.084,84461.0,0.0,3,0,0,1783333,Decreciente,1
9,28/03/2025 08:54,1411797,11,41,Empleado,6500000,2500000,111226,95.227787,850.0,7,5,0.0,95329.398,87378.0,0.0,6,0,1,9119911,Creciente,1
9,4/12/2024 16:39,1784658,7,64,Empleado,3200000,2500000,210192,95.227787,922,8,0,0,8513.904,25339,0,5,0,0,,,1
9,23/02/2025 15:49,8830672,9,46,Independiente,2800000,2300000,825498,95.227787,748.0,18,6,0.0,528239.334,439467.0,0.0,13,0,3,,,1
4,3/10/2025 15:30,2067541,6,54,Independiente,4350000,1352000,312676,95.227787,748.0,10,3,0.0,78210.162,54426.0,0.0,6,0,1,1536363,Creciente,1
4,5/04/2025 10:15,4152001,6,43,Independiente,15000000,3000000,617282,95.227787,775.0,3,5,0.0,81178.146,67818.0,0.0,2,0,0,32724,Creciente,1
4,27/03/2025 12:05,10656001,6,61,Independiente,8000000,3500000,1583786,95.227787,860.0,6,5,0.0,89386.392,70494.0,0.0,4,0,1,1016666,Creciente,1
4,15/03/2025 15:32,6480002,6,38,Independiente,10000000,2000000,963064,95.227787,788.0,3,3,0.0,128111.508,69588.0,0.0,1,0,0,545426,Creciente,1
4,27/04/2025 14:33,3575998,6,48,Independiente,6000000,1800000,531648,95.227787,774.0,8,5,0.0,2420.97,22857.0,0.0,5,0,1,963410,Decreciente,1
4,13/01/2025 18:24,1923601,8,41,Empleado,2500000,1000000,217883,95.227787,803.0,1,2,0.0,0,0.0,0.0,0,0,0,1200000,Estable,1
9,16/05/2025 10:39,821208,2,39,Empleado,4000000,1000000,323939,95.227787,777.0,8,7,0.0,26033.7,53130.0,0.0,4,0,2,939017,8315,1
4,19/10/2025 19:35,4923842,6,46,Empleado,3080000,2929000,744637,95.227787,815.0,6,3,0.0,230076.42,123697.0,0.0,1,3,1,1414200,Decreciente,1
9,11/07/2025 16:12,1604401,2,53,Independiente,5000000,2000000,633160,95.227787,844.0,4,3,0.0,39661.308,76863.0,0.0,1,1,1,954300,Creciente,1
4,3/10/2025 12:42,4128001,6,35,Independiente,6270000,2282000,625577,95.227787,843.0,6,4,0.0,77716.32,54120.0,0.0,3,0,1,984754,Creciente,1
9,3/05/2025 12:51,1604400,2,53,Independiente,5000000,2000000,632882,95.227787,829.0,3,4,0.0,-11.021,103.0,0.0,1,0,1,1200000,0,1
9,11/05/2025 16:09,3048867,11,47,Independiente,3400000,1400000,237887,95.227787,809.0,2,1,0.0,72832.32,39930.0,0.0,0,0,1,918689,Creciente,1
4,2/05/2025 17:14,2747881,10,40,Empleado,5000000,1000000,255619,95.227787,828.0,7,3,0.0,47813.4,45450.0,0.0,6,0,0,1472727,Creciente,1
9,8/05/2025 10:44,1109160,2,40,Independiente,5000000,2000000,437526,95.227787,786.0,8,5,0.0,-6766.95,29550.0,0.0,2,0,2,949181,Decreciente,1
4,12/07/2025 12:56,1860001,6,41,Independiente,3000000,1200000,278561,95.227787,760.0,8,4,0.0,15169.24,12620.0,0.0,1,0,7,,,1
4,11/06/2025 16:59,780000,6,37,Empleado,2000000,350000,117259,95.227787,821.0,4,3,0.0,-1374.192,3181.0,0.0,3,0,1,482398,Creciente,1
9,17/05/2025 10:11,878881,5,60,Independiente,4000000,2000000,142747,3.819022,815.0,6,3,0.0,21108.018,16673.0,0.0,3,0,2,908526,Creciente,0
4,9/09/2025 12:10,1583642,6,40,Empleado,1720000,1641000,239189,95.227787,816.0,8,4,0.0,28104.669,85947.0,0.0,5,0,0,,,1
4,14/01/2025 16:19,4953961,12,39,Empleado,2000000,800000,388216,95.227787,774.0,5,10,0.0,462.22,484.0,0.0,1,0,2,908526,Estable,1
9,9/04/2025 15:04,1185660,11,38,Independiente,5000000,2000000,92406,95.227787,799.0,10,7,0.0,-92316.672,193536.0,0.0,7,0,2,,,1
4,22/02/2025 12:12,2400002,12,39,Empleado,3500000,800000,189119,95.227787,849.0,9,4,0.0,483130.722,15518.0,0.0,6,1,1,,,1
9,6/10/2025 11:05,1632204,5,68,Empleado,2630000,900000,267802,95.227787,815.0,4,3,0.0,0,0.0,0.0,3,0,0,975052,Creciente,1
4,11/01/2025 16:06,4276801,6,42,Independiente,7000000,2000000,634120,95.227787,757.0,11,2,0.0,54473.696,44144.0,0.0,7,0,0,908546,Decreciente,1
4,8/03/2025 10:59,672002,6,42,Empleado,5529612,1000000,99878,-17.221953,740.0,6,8,0.0,22910.538,14602.0,0.0,3,0,2,3705767,Decreciente,0
4,13/10/2025 14:39,963918,6,64,Independiente,2330000,0,146818,95.227787,856.0,1,1,0.0,0,0.0,0.0,0,0,0,2142000,Creciente,1
9,10/04/2025 15:25,2419718,11,59,Empleado,3100000,1500000,188583,95.227787,724.0,2,4,0.0,15426.238,15709.0,0.0,2,0,0,,,1
4,7/08/2025 10:04,2420462,6,49,Independiente,908526,3105000,364324,95.227787,810.0,10,10,0.0,262203.36,157008.0,0.0,5,0,3,966736,Creciente,1
4,12/02/2025 13:38,1200001,6,69,Empleado,4000000,2000000,178233,95.227787,872.0,2,1,0.0,0,0.0,0.0,1,0,0,,,1
4,24/02/2025 08:50,1776002,6,40,Independiente,15000000,4000000,263784,95.227787,796.0,4,5,0.0,48863.136,27056.0,0.0,3,0,1,469406,Decreciente,1
4,27/12/2024 13:18,3124800,6,56,Independiente,5000000,4000000,462952,95.227787,801.0,8,8,0.0,15937.152,34496.0,0.0,6,0,1,,,1
4,27/01/2025 18:26,2160001,12,67,Independiente,4000000,1500000,168955,95.227787,741.0,6,4,0.0,82967.028,56988.0,0.0,4,0,0,1935131,Creciente,1
4,6/06/2025 11:11,1824000,6,41,Empleado,3000000,1000000,272261,95.227787,817.0,4,6,0.0,3238.3,24910.0,0.0,1,1,1,2000269,Creciente,1
4,20/02/2025 13:37,3288001,12,58,Independiente,5000000,3000000,258320,89.2295,798.0,2,2,0.0,9997.76,12736.0,0.0,0,1,0,,,1
4,11/02/2025 12:42,6228000,12,58,Independiente,9000000,4000000,489299,95.227787,825.0,3,4,0.0,-17.667,39.0,0.0,0,0,0,923771,Decreciente,1
4,1/06/2025 18:18,1620060,6,43,Empleado,2300000,900000,240951,95.227787,760.0,3,5,0.0,1013.848,263.0,0.0,0,1,0,2611969,Decreciente,1
4,6/02/2025 10:18,1648801,6,42,Independiente,5000000,2500000,244892,95.227787,910.0,2,6,0.0,9472.572,11358.0,0.0,1,0,1,918689,Creciente,1
4,9/06/2025 16:38,3740162,6,44,Independiente,25000000,14500000,556241,95.227787,810.0,6,2,0.0,208033.234,127082.0,0.0,4,0,0,615779,Creciente,1
4,6/04/2025 12:03,1320001,12,40,Empleado,5000000,1500000,103888,95.227787,717.0,8,9,0.0,6984.552,12084.0,0.0,2,1,1,933473,Creciente,1
4,11/05/2025 18:08,1613881,6,43,Independiente,7000000,3500000,240520,95.227787,751.0,17,10,0.0,541731.224,607322.0,0.0,16,0,0,,,1
9,19/06/2025 18:08,5709532,10,60,Independiente,5000000,3000000,486291,95.227787,874.0,4,3,0.0,106886.556,58586.0,0.0,2,0,1,1300000,Estable,1
4,24/02/2025 18:09,3864000,8,57,Independiente,7000000,3500000,438615,95.227787,769.0,9,5,0.0,-5109.73,16483.0,0.0,4,0,3,1402083,Creciente,1
4,21/01/2025 18:23,2412600,6,41,Empleado,8000000,3000000,335083,95.227787,789.0,1,4,0.0,0,0.0,0.0,0,0,0,3193333,Decreciente,1
4,30/10/2025 12:48,1283089,18,38,Empleado,5350000,2254000,74430,95.227787,726.0,11,3,0.0,159761.122,123463.0,0.0,8,0,1,,,1
9,28/06/2025 17:57,586681,4,43,Independiente,3500000,1000000,118010,95.227787,742.0,16,7,0.0,302663.27,317590.0,0.0,10,0,2,1746821,Estable,1
4,9/06/2025 18:21,6000002,12,43,Independiente,7000000,1300000,474251,95.227787,859.0,5,5,0.0,0,0.0,0.0,2,0,0,939155,Creciente,1
9,22/09/2025 17:52,2758814,11,42,Empleado,2030000,0,217964,95.227787,812.0,1,3,0.0,0,0.0,0.0,0,0,0,931394,Creciente,1
4,13/01/2025 15:25,4253521,12,41,Independiente,4000000,500000,295383,95.227787,763.0,11,13,0.0,20453.225,24205.0,0.0,9,0,1,916148,Creciente,1
4,10/10/2025 14:11,2487500,6,53,Independiente,4570000,2958000,376967,95.227787,815.0,5,5,0.0,59930.556,71092.0,0.0,1,0,1,33334,Estable,1
4,16/01/2025 08:10,2287080,12,40,Empleado,1800000,800000,158825,95.227787,852.0,1,4,0.0,0,0.0,0.0,1,0,0,1910696,Creciente,1
4,18/01/2025 14:41,6960002,12,48,Empleado,6000000,3000000,544309,95.227787,840.0,6,11,0.0,173161.732,25169.0,0.0,5,0,0,917673,Creciente,1
4,11/10/2025 16:04,3186481,6,57,Empleado,2890000,176000,485346,95.227787,750.0,5,3,0.0,25210.061,786.0,0.0,0,0,3,1739567,Creciente,1
4,24/07/2025 18:21,4632483,8,44,Empleado,3441577,0,524652,95.227787,851.0,2,0,0.0,0,0.0,0.0,1,0,0,3703549,Creciente,1
4,30/03/2025 14:45,936002,6,44,Empleado,2000000,1000000,139148,95.227787,809.0,2,1,0.0,19764.124,11236.0,0.0,2,0,0,516667,Creciente,1
9,9/04/2025 08:53,821209,5,66,Independiente,3500000,1800000,133225,95.227787,774.0,5,2,0.0,3399.925,6355.0,0.0,2,0,3,,,1
4,20/01/2025 18:53,2523661,6,52,Empleado,2000000,600000,374320,95.227787,796.0,2,6,0.0,22743.801,29047.0,0.0,1,0,1,2343521,Creciente,1
4,25/03/2025 15:52,1008002,6,63,Empleado,3000000,1000000,150224,95.227787,834.0,9,11,0.0,53825.079,33287.0,0.0,6,0,2,,,1
4,9/05/2025 12:25,5664000,10,52,Independiente,4000000,600000,530901,95.227787,866.0,4,4,0.0,-563.905,3889.0,0.0,2,0,1,762152,Creciente,1
4,1/04/2025 17:43,1021020,6,66,Independiente,2000000,800000,151649,95.227787,824.0,3,4,0.0,0,0.0,0.0,1,0,0,923771,Creciente,1
4,20/01/2025 16:56,2063281,12,54,Empleado,5000000,2000000,143283,95.227787,819.0,13,5,0.0,-9008.622,237069.0,0.0,10,0,0,5270336,Creciente,1
4,12/05/2025 18:37,1870440,6,66,Empleado,7000000,2000000,278064,95.227787,750.0,14,5,0.0,-77188.562,165286.0,0.0,8,0,3,,,1
9,30/04/2025 12:40,1291828,10,62,Empleado,4500000,3500000,109854,95.227787,706.0,12,10,0.0,35374.944,146784.0,0.0,9,0,2,1968424,Creciente,1
9,22/05/2025 11:46,1604402,2,42,Independiente,4000000,2000000,633067,95.227787,782.0,4,5,0.0,18682.449,10609.0,0.0,1,0,2,,,1
4,3/03/2025 16:28,5008347,36,53,Empleado,5000000,800000,165110,95.227787,841.0,3,6,0.0,20293.429,67871.0,0.0,3,0,0,1057500,Creciente,1
4,22/12/2024 15:01,1435202,12,52,Empleado,2400000,400000,112240,95.227787,859.0,5,2,0.0,21247.371,10629.0,0.0,3,0,2,2182000,Creciente,1
9,2/03/2025 12:03,1604400,8,44,Independiente,5000000,2000000,167190,53.374315,844.0,10,5,0.0,10841.449,148513.0,0.0,8,0,1,5587797,Creciente,0
4,22/06/2025 10:24,1571641,6,42,Empleado,1600000,400000,233750,95.227787,853.0,6,3,0.0,4153.688,3388.0,0.0,3,0,0,958861,Creciente,1
9,21/12/2024 09:59,3292323,11,42,Empleado,12000000,4000000,256151,95.227787,457,4,1,5721,240594.3,178218,,2,0,1,,,1
4,15/03/2025 15:35,1200002,6,37,Independiente,8000000,3000000,178233,95.227787,826.0,10,7,0.0,242614.441,129671.0,0.0,9,0,0,931394,Creciente,1
4,24/05/2025 18:09,1320000,6,36,Empleado,5100000,650000,196722,95.227787,787.0,8,2,0.0,-11609.352,28239.0,0.0,5,0,2,5014276,Decreciente,1
4,16/08/2025 17:12,1152000,6,55,Independiente,18200000,8219000,173397,95.227787,867.0,11,8,0.0,-68017.928,139381.0,0.0,6,1,1,961885,Creciente,1
4,3/02/2025 18:52,14208000,12,48,Independiente,25000000,18000000,1116242,95.227787,893.0,12,3,0.0,-6292.008,22552.0,0.0,8,0,1,1216666,Creciente,1
9,10/02/2025 11:42,1269002,9,63,Empleado,4000000,2000000,118514,91.410695,681.0,17,3,67.0,280778.212,157652.0,0.0,6,0,8,29261,Creciente,1
4,1/02/2025 17:00,4032001,6,40,Independiente,9000000,4000000,598862,89.979287,814.0,9,5,0.0,135610.874,114526.0,0.0,4,0,2,732877,Creciente,1
4,9/04/2025 16:27,3038881,18,39,Empleado,2900000,600000,168175,95.227787,735.0,6,14,0.0,8876.078,6313.0,0.0,1,0,3,2275693,Creciente,1
4,2/03/2025 14:14,2216281,12,45,Empleado,2500000,800000,174337,95.227787,801.0,4,1,0.0,68243.31,46710.0,0.0,1,0,2,3450634,Creciente,1
9,29/06/2025 10:37,2274708,9,65,Empleado,2000000,1000000,213252,95.227787,837.0,3,3,0.0,-4096.768,19696.0,0.0,0,2,0,3710985,Creciente,1
4,6/03/2025 15:41,5940000,12,62,Independiente,8000000,7000000,467252,95.227787,884.0,1,5,0.0,0,0.0,0.0,1,0,0,1000000,Estable,1
4,14/06/2025 16:12,1037642,12,62,Empleado,1700000,400000,82269,95.227787,798.0,3,3,0.0,5116.8,3200.0,0.0,1,0,2,1291304,Creciente,1
9,22/05/2025 15:58,5110845,9,40,Independiente,4388303,1625000,478909,95.227787,782.0,5,4,0.0,330.872,1402.0,0.0,1,0,3,954263,Creciente,1
4,11/01/2025 18:17,2113740,6,43,Empleado,4500000,1200000,313519,95.227787,765.0,5,6,0.0,149.363,3643.0,0.0,0,0,3,908526,Estable,1
4,5/03/2025 15:24,2114160,6,49,Empleado,2500000,1000000,314224,95.227787,800.0,2,5,0.0,2862.356,2114.0,0.0,1,0,0,925157,Creciente,1
4,26/07/2025 16:14,840001,6,49,Independiente,1000,2439000,125802,95.227787,876.0,6,4,0.0,82760.787,59583.0,0.0,4,0,1,1000,Estable,1
4,9/09/2025 11:42,3720002,6,47,Independiente,2040000,669000,561864,89.979287,807.0,2,7,0.0,2753.758,1646.0,0.0,1,0,1,816666,Creciente,1
4,20/06/2025 13:27,3310801,24,47,Empleado,12000000,800000,114958,95.227787,830.0,11,8,0.0,107265.096,188847.0,0.0,10,0,0,6193672,Creciente,1
4,25/07/2025 11:44,5766618,6,47,Independiente,1700000,800000,857908,95.227787,840.0,2,3,0.0,-26951.23,58210.0,0.0,1,1,0,533334,Estable,1
4,10/08/2025 18:08,1916545,8,44,Empleado,7148148,798000,219906,95.227787,749.0,6,2,0.0,26919.1,5310.0,0.0,2,0,1,6735779,Creciente,1
4,6/01/2025 15:26,1988280,12,51,Independiente,4000000,400000,138075,91.99794,870.0,8,3,0.0,3557.862,11627.0,0.0,5,0,0,908526,Estable,1
9,13/03/2025 13:50,2028007,10,38,Empleado,6000000,4500000,172187,95.227787,796.0,2,8,0.0,0,0.0,0.0,1,0,0,920888,Creciente,1
4,5/12/2024 15:19,3516002,18,38,Empleado,2100000,550000,194255,95.227787,838.0,3,5,0.0,5237.868,3478.0,0.0,2,0,1,2048000,Estable,1
9,2/10/2025 15:26,3410337,10,37,Empleado,10260000,2425000,295661,95.227787,864.0,5,3,0.0,-67972.5,135945.0,0.0,5,0,0,4666878,Decreciente,1
4,22/02/2025 09:52,2232000,12,69,Independiente,6500000,2000000,175356,95.227787,838.0,8,7,0.0,-3306.78,165339.0,0.0,5,0,2,626011,Creciente,1
4,26/08/2025 16:03,1296513,6,39,Empleado,1569750,817000,195824,95.227787,738.0,8,5,0.0,-6086.481,15398.0,0.0,2,2,0,1578761,Creciente,1
9,14/12/2024 10:21,1784716,10,37,Empleado,2100000,300000,151133,70.034986,704,4,0,0,73745.332,7987,0,0,0,0,,,1
4,30/12/2024 10:17,3335280,36,37,Empleado,1800000,800000,107488,95.227787,821.0,4,2,0.0,-5759.46,13060.0,0.0,2,0,2,1563106,Creciente,1
9,13/04/2025 08:56,1142618,10,37,Independiente,4000000,2000000,97064,58.597591,726.0,8,4,0.0,10049.338,32734.0,0.0,2,0,3,1720000,Decreciente,0
4,31/05/2025 11:40,890299,6,38,Empleado,3500000,1800000,133832,95.227787,788.0,5,7,0.0,92018.481,74751.0,0.0,2,0,1,,,1
10,14/06/2025 16:45,1454762,6,39,Empleado,1520000,500000,217146,95.227787,760.0,1,8,0.0,1337.938,842.0,0.0,0,0,1,1820770,Creciente,1
9,20/01/2025 10:49,1208690,10,37,Independiente,7500000,3000000,102515,49.886528,704.0,16,4,0.0,34875.248,70313.0,0.0,14,0,0,5636471,Creciente,0
4,25/07/2025 13:43,567600,6,38,Empleado,2000000,100000,85328,95.227787,740.0,6,6,0.0,-715.02,2482.0,0.0,1,0,3,90853,Creciente,1
4,15/01/2025 09:02,8664000,6,38,Empleado,3300000,2000000,1288087,95.227787,779.0,10,5,0.0,800.679,42141.0,0.0,4,0,0,2775757,Creciente,1
9,18/12/2024 16:21,5964456,10,38,Independiente,9000000,6830000,505877,69.456282,784.0,4,2,0.0,70949.991,72177.0,0.0,2,0,1,,,1
4,13/09/2025 11:57,6456000,6,57,Independiente,5540000,0,975098,95.227787,881.0,3,4,0.0,-27943.733,49.0,0.0,1,1,0,977131,Creciente,1
4,6/04/2025 15:09,912002,18,56,Empleado,2100000,400000,51133,95.227787,753.0,8,3,0.0,35758.592,21184.0,0.0,0,2,3,1424251,Creciente,1
4,30/11/2024 09:24,1132429,24,52,Empleado,1100000,520000,49543,95.227787,830.0,6,5,0.0,70399.53,8760.0,0.0,1,5,0,981390,Decreciente,1
4,31/03/2025 11:27,876000,6,53,Independiente,7000000,3500000,130757,95.227787,733,4,1,0,-14704.3,14982,0,2,2,2,,,1
4,20/04/2025 17:00,3216001,10,41,Independiente,6700000,2680000,298016,95.227787,709.0,4,6,0.0,7613.397,5247.0,0.0,3,0,1,454263,Creciente,1
4,8/02/2026 17:13,2775048,6,40,Independiente,6670000,3207000,427589,95.227787,805.0,7,8,0.0,37652.256,55657.0,0.0,4,0,1,1769540,Creciente,1
4,13/09/2025 16:16,480001,6,39,Empleado,6150000,3904000,72745,95.227787,745.0,9,5,0.0,103112.166,72258.0,0.0,5,0,2,4254545,Creciente,1
9,24/07/2025 09:59,1239234,9,38,Empleado,3200000,1800000,116399,95.227787,830.0,5,8,0.0,107555.485,78565.0,0.0,5,0,0,3416363,Creciente,1
6,23/08/2025 08:51,1843218,12,67,Empleado,0,337000,149806,95.227787,828.0,3,3,0.0,1109.928,2694.0,0.0,1,0,1,1760890,Creciente,1
9,28/12/2024 18:24,4190020,10,39,Empleado,10000000,6000000,355378,95.227787,810.0,8,8,0.0,35233,128120.0,0.0,6,0,0,6086475,Creciente,1
9,2/01/2025 09:49,2810054,11,39,Empleado,1500000,600000,218630,95.227787,739,4,0,0,-163.8,585,,0,0,4,,,1
9,31/01/2025 17:42,3022778,11,38,Empleado,11000000,5000000,255922,95.227787,852.0,3,5,0.0,16245.456,9096.0,0.0,2,0,0,3988666,Creciente,1
9,11/07/2025 12:13,2530014,9,38,Empleado,2500000,1200000,237187,95.227787,722.0,6,3,0.0,4384.215,26571.0,0.0,4,0,0,2129844,Creciente,1
4,29/11/2024 18:35,3420900,36,38,Empleado,4800000,500000,110368,95.227787,837.0,6,3,0.0,-21783.51,69154.0,0.0,6,0,0,4254363,Creciente,1
4,30/12/2025 14:16,3960000,36,39,Independiente,2354000,365000,151185,95.227787,752.0,5,6,0.0,1103.508,2436.0,0.0,1,0,4,1000000,Estable,1
9,2/05/2025 16:21,2356955,10,38,Empleado,3500000,1500000,200431,95.227787,820.0,5,3,0.0,-1129.61,7955.0,0.0,4,0,1,908526,Estable,1
9,6/02/2025 11:07,1518191,9,67,Empleado,3800000,2000000,141786,88.768094,820.0,3,4,0.0,0,65672.0,0.0,2,0,0,2539537,Creciente,1
9,28/11/2024 13:48,1222679,9,65,Independiente,2000000,1000000,114024,95.227787,804.0,4,4,0.0,13748.804,43786.0,0.0,3,0,0,905965,Creciente,1
9,14/03/2025 09:07,1006041,2,63,Empleado,16000000,8000000,396674,95.227787,832.0,9,4,0.0,96416.253,34986.0,0.0,2,2,1,3959510,Decreciente,1
9,28/05/2025 15:14,6045478,9,69,Independiente,3000000,1900000,566488,95.227787,888.0,12,4,0.0,182662.584,386997.0,0.0,9,0,3,946640,Creciente,1
